"Title","Year","Description","Directors","Collections","Duration","Actors"
"Three Starring Geoge Segal Teaser","0","“What you get with George is masculinity and sensitivity, plus a brain,” remarked director Mike Nichols with regards to the late George Segal, who passed away in March. With his handsome good looks, appealingly down-to-earth screen presence, and ability to play across drama and comedy, Segal became one of the most popular stars of the 1970s and an avatar of the era’s changing social attitudes. This selection of three of his most memorable films—the gritty POW drama KING RAT, offbeat caper THE HOT ROCK, and freewheeling gambling comedy CALIFORNIA SPLIT—showcase Segal’s easygoing charm and remarkable range.<LF>","","Criterion:Three Starring George Segal","1:12",""
"Hot Rock, The (1972)","1972","Did someone say “Afghanistan banana stand”? Robert Redford and George Segal team up in this breezily entertaining heist-comedy gem, in which the pair’s plan to steal a priceless diamond from the Brooklyn Museum goes spectacularly awry again . . . and again . . . and again. Based on Donald E. Westlake’s novel of the same name—the first in a series built around the recurring John Dortmunder character played by Redford—THE HOT ROCK features a colorful script by BUTCH CASSIDY AND THE SUNDANCE KID screenwriter William Goldman, a funky avant-jazz score by Quincy Jones, and evocative use of 1970s New York City locales.<LF>","Peter Yates","Criterion:Three Starring George Segal","1:40:54","Robert Redford; George Segal; Ron Leibman"
"Three Starring Jane Fonda Teaser","0","Few actors have dominated an era for their work both on and offscreen the way Jane Fonda did in the 1960s and ’70s, when she emerged as one of the most acclaimed performers of her generation as well as a zeitgeist-defining cultural icon for her fierce political activism. All made at the peak of her career, these three films showcase Fonda’s nuance, impeccable comic timing, and versatility: she’s larger than life as an intergalactic bombshell in the cult sci-fi extravaganza BARBARELLA; riotously funny as a bourgeois housewife who takes up armed robbery in the barbed slapstick satire FUN WITH DICK AND JANE; and at once prickly and disarming as a divorced woman fighting for custody of her daughter in the Neil Simon–penned ensemble farce CALIFORNIA SUITE.<LF>","","Criterion:Three Starring Jane Fonda","1:18",""
"Barbarella (1968)","1968","This outrageous blend of science fiction, high camp, and erotic fantasia made Jane Fonda a permanent cult icon. She is sensational as a wide-eyed space adventurer whose quest to track down a famed scientist takes her to the Tau Ceti galaxy, where she encounters an array of perilously kinky pleasures. Described by director Roger Vadim as “a kind of sexual ‘Alice in Wonderland’ of the future,” BARBARELLA has taken its place as a midnight-movie classic thanks to its trippy art direction and sense of kitschy comic-book fun.<LF><LF>Barbarella is a 1968 science fiction film directed by Roger Vadim, based on the comic series of the same name by Jean-Claude Forest. The film stars Jane Fonda as Barbarella, a space-traveler and representative of the United Earth government sent to find scientist Durand Durand, who has created a weapon that could destroy humanity.<LF><LF>As a director who expressed an interest in comics and science fiction, Vadim was hired to direct Barbarella after producer Dino De Laurentiis purchased the film rights to the comic series. Vadim attempted to cast several actors in the title role (including Virna Lisi, Brigitte Bardot, and Sophia Loren) before choosing his then-wife, Fonda. A friend of Vadim's, Terry Southern, wrote the initial screenplay, which changed considerably during filming and led to seven other writers credited in the final release, including Vadim and Forest. The film began shooting immediately following the completion of another De Laurentiis comic adaptation, Danger: Diabolik, with both films sharing several cast and crew members.<LF><LF>The film was particularly popular in the United Kingdom, where it was the year's second-highest-grossing film. Contemporary film critics praised Barbarella's visuals and cinematography, but found its storyline weak after the first few scenes. Although several attempts at sequels, remakes, and other adaptations have been planned, none has entered production.","Roger Vadim","Criterion:Three Starring Jane Fonda","1:38:13","Jane Fonda; John Phillip Law; Marcel Marceau"
"Fun With Dick and Jane (1977)","1977","Dick (George Segal) and Jane (Jane Fonda) are an upwardly mobile young couple building a picture-perfect life for themselves. They have an eleven-year-old son named Billy, a dog named Spot, a fine house in the suburbs, and a mailbox crammed with bills. When Dick’s boss (Ed McMahon) lays him off from his job, the two hit upon a most unconventional scheme—armed robbery—in order to maintain their comfortable lifestyle. This wicked satire from director Ted Kotcheff delivers uproarious comic set pieces alongside a barbed takedown of bourgeois values.<LF>","Ted Kotcheff","Criterion:Three Starring Jane Fonda","1:35:49","George Segal; Jane Fonda; Ed McMahon"
"California Suite (1978)","1978","Neil Simon’s smash Broadway farce hits the screen with a luminous all-star cast. Among the guests whose personal and romantic dilemmas intertwine over the course of their stay at the Beverly Hills Hotel are: Jane Fonda, as a hard-nosed Manhattanite perturbed by her ex-husband Alan Alda’s new California lifestyle; Maggie Smith, who won a real-life Academy Award for her performance as an Oscar-nominated actress in denial about her marriage of convenience to her closeted husband (Michael Caine); Walter Matthau, who must think quick to explain to his wife (Elaine May) how another woman ended up in his bed; and Richard Pryor as a doctor trying—and failing to find—a little rest and relaxation.<LF><LF>+100ms","Herbert Ross","Criterion:Three Starring Jane Fonda","1:42:42","Jane Fonda; Alan Alda; Maggie Smith; Walter Matthau; Richard Pryor; Michael Caine; Elaine May"
"Three Starring Jane Russell Teaser","0","Born one hundred years ago this June, Jane Russell rose to fame under the Svengali-like influence of Howard Hughes, who exploited her sex appeal to turn his production of THE OUTLAW into a cultural sensation. More than just the provocative pinup of Hughes’s fantasies, however, Russell soon proved to be an intelligent, sharp-witted performer who projected a brassy toughness and down-to-earth likability that made her one of the most popular stars of the 1940s and ’50s. This trio of highlights from Russell’s heyday brings together the fascinatingly offbeat noirs HIS KIND OF WOMAN and MACAO, both costarring Robert Mitchum, alongside Raoul Walsh’s punchy melodrama THE REVOLT OF MAMIE STOVER, with Russell at her best as an ambitious sex worker determined to make her fortune in Hawaii.<LF>","","Criterion:Three Starring Jane Russell","1:05",""
"His Kind of Woman (1951)","1951","This offbeat noir gem from genre specialist John Farrow brings together a crackerjack cast—including Robert Mitchum, Jane Russell, Raymond Burr, and Vincent Price (playing, appropriately, a ham actor)—for a twisty tale of crime and deception shot through with dashes of parodic comedy. Mitchum is professional gambler Dan Milner, who’s so hard up for cash that he is willing to sell his name to Nick Ferraro (Burr), a mobster in need of a new identity. Summoned by Ferraro to a luxurious Mexican resort, Milner finds himself embroiled in a scheme far more intricate and dangerous than he anticipated.<LF>","John Farrow","Criterion:Three Starring Jane Russell","2:00:13","Robert Mitchum; Jane Russell; Vincent Price"
"Macao (1952)","1952","Jane Russell and Robert Mitchum are drawn into a noirish web of danger in this sultry adventure directed by master visual stylist Josef von Sternberg (with contributions from an uncredited Nicholas Ray). Nick Cochran (Mitchum) rescues Julie Benson (Russell) from the unwanted advances of another passenger during the forty-five-mile voyage from Hong Kong to Macao, a Portuguese colonial enclave beyond the reach of both Chinese and British law that has served as a home for gamblers, smugglers, and crime lords for centuries. There, gangster Vincent Halloran (Brad Dexter) hires Benson to sing in his club. Halloran knows the Hong Kong police have sent someone to apprehend him—and he believes Cochran to be the man. But in Macao, where everyone has a secret, nothing is as it first appears.<LF>","Josef von Sternberg","Criterion:Three Starring Jane Russell","1:20:56","Robert Mitchum; Jane Russell; William Bendix; Brad Dexter; Gloria Grahame"
"Revolt of Mamie Stover, The (1956)","1956","Jane Russell’s feisty performance (in a role originally intended for Marilyn Monroe), Raoul Walsh’s vigorous direction, and spectacular Hawaiian location shooting in eye-popping DeLuxe Color come together in a punchy melodrama adapted from a scandalous novel by William Bradford Huie. Run out of San Francisco, prostitute Mamie Stover (Russell) hops a freighter to Hawaii and along the way meets successful writer Jim Blair (Richard Egan). Their budding romance offers Mamie the promise of a fresh start, but her old ways—and ruthless ambition—complicate matters. A blonde Agnes Moorehead lends memorable support as a domineering brothel madam.<LF>","Raoul Walsh","Criterion:Three Starring Jane Russell","1:33:00","Jane Russell; Richard Egan; Joan Leslie"
"Three Starring Lana Turner Teaser","0","A star whose name alone conjures the glamorous allure of dream-factory fantasy, Lana Turner was born one hundred years ago this February—but her legend began fifteen years later, when she was famously discovered at a Hollywood soda fountain, a fabled bit of Tinseltown lore that fueled the hopes of a thousand wannabe starlets. Though she began her career as a teenage ingenue, Turner blossomed into a vivid dramatic presence in classics like the sultry noir THE POSTMAN ALWAYS RINGS TWICE and Vincente Minnelli’s twisted Hollywood self-portrait THE BAD AND THE BEAUTIFUL. That her on-screen image was often in sensational dialogue with her much-publicized, scandal-ridden personal life has only fueled the enduring fascination with Turner’s myth.<LF>","","Criterion:Three Starring Lana Turner","1:19",""
"Postman Always Rings Twice, The (1946)","1946","Lana Turner and John Garfield set the screen ablaze with their smoldering chemistry in this erotically charged noir classic based on the novel by James M. Cain. Down-and-out drifter Frank Chambers (Garfield) wanders into the roadside diner owned by Nick Smith (Cecil Kellaway)—and immediately falls for Smith’s young wife, Cora (Turner). An adulterous affair and a desire for money soon drive Frank and Cora to formulate a deadly plot that only begets more complications for the desperate lovers.<LF>","Tay Garnett","Criterion:Three Starring Lana Turner","1:53:00","Lana Turner; John Garfield; Cecil Kellaway"
"Life of Her Own, A (1950)","1950","Lana Turner gives one of her finest performances in this look at the special curse of glamor set amidst a rarefied world of beauty, celebrity, and cocktail parties. She stars as Lily James, an ambitious young woman from the Midwest who comes to New York City to make it as a model. Through her talent and determination, Lily climbs her way to the top of her profession. But an affair with a married man (Ray Milland) soon forces her to reevaluate what she truly wants.<LF>","George Cukor","Criterion:Three Starring Lana Turner","1:48:22","Lana Turner; Ray Milland; Tom Ewell"
"Bad and the Beautiful, The (1952)","1952","Appearances are everything in Hollywood. Kirk Douglas gives a magnetic, Oscar-nominated performance as conniving producer Jonathan Shields, who turns talent, charisma and ruthlessness into film success, stomping on careers and creating enemies along the way. Vincente Minnelli directs this winner of five Academy Awards that’s more than a compelling insider’s look at Tinseltown: it’s a juicy opportunity for buffs to guess which real-life stars and moguls inspired the roles played by Douglas, Lana Turner, Walter Pidgeon, Dick Powell, Gloria Grahame, and more.<LF>","Vincente Minnelli","Criterion:Three Starring Lana Turner","1:56:04","Lana Turner; Kirk Douglas; Walter Pidgeon; Dick Powell; Gloria Grahame"
"Citizen Ruth (1996)","1996","In this daringly outrageous satire from Alexander Payne (ELECTION), Laura Dern delivers a sensational performance as Ruth Stoops, an irresponsible, carefree drug addict pregnant for the fifth time, much to the dismay of everyone around her. But everybody across the political spectrum has an opinion about what she should do with her life. Soon, Ruth finds herself at the forefront of a national debate about abortion—when all she wants to do is party.<LF>","Alexander Payne","Criterion:Three Starring Laura Dern","1:45:43","Laura Dern; Swoosie Kurtz; Kurtwood Smith"
"M (1931)","1931","A simple, haunting musical phrase whistled offscreen tells us that a young girl will be killed. ""Who Is the Murderer?"" pleads a nearby placard as serial killer Hans Beckert (Peter Lorre) closes in on little Elsie Beckmann... In his harrowing masterwork M, Fritz Lang merges trenchant social commentary with chilling suspense, creating a panorama of private madness and public hysteria that to this day remains the blueprint for the psychological thriller.<LF>","Fritz Lang","Criterion:True Crime","1:49:46",""
"Arsenic and Old Lace (1944) (FC)","0","Cary Grant stars as the one sane member of a charmingly lunatic family in Frank Capra’s classic comedy. When Mortimer Brewster (Grant) brings his new bride to meet his two kindly aunts, he discovers that, among many other acts of charity, the two genteel ladies help lonely old men die happy . . . by feeding them a wonderful meal before poisoning them. Now Mortimer desperately wants to protect the serial murderers he loves (and whom source playwright Joseph Kesselring modeled on real-life killer Amy Archer-Gilligan), stop them from killing anyone else, and keep his bride from discovering how deranged his family really is.<LF>","","Criterion:True Crime","0:06",""
"Try and Get Me! (1950)","1950","Inspired by the highly publicized 1933 murder of department store heir Brooke Hart (also the basis for Fritz Lang’s FURY), this noir from blacklisted director Cy Endfield follows desperate, unemployed family man Howard Tyler (Frank Lovejoy) as he falls under the influence of small-time hood Jerry Slocum (Lloyd Bridges), who ropes him into a high-stakes kidnapping plot. When the crime unravels and ends in murder, Tyler finds himself facing the wrath of both the law and a local journalist (Richard Carlson) who uses his pen to stir public opinion into a bloodthirsty frenzy.<LF>","Cy Endfield","Criterion:True Crime","1:31:51","Frank Lovejoy; Kathleen Ryan; Richard Carlson; Lloyd Bridges"
"In Cold Blood (1967)","1967","Truman Capote’s best seller, a breakthrough narrative account of real-life crime and punishment, became an equally chilling film in the hands of writer-director Richard Brooks. Cast for their unsettling resemblances to the killers they play, Robert Blake and Scott Wilson give authentic, unshowy performances as Perry Smith and Dick Hickock, who in 1959 murdered a family of four in Kansas during a botched robbery. Brooks brings a detached, documentary-like starkness to this uncompromising view of an American tragedy and its aftermath; at the same time, stylistically IN COLD BLOOD is a filmmaking master class, with clinically precise editing, chiaroscuro black-and-white cinematography by the great Conrad Hall, and a menacing jazz score by Quincy Jones.<LF>","Richard Brooks","Criterion:True Crime","2:14:54","Robert Blake; Scott Wilson; John Forsythe"
"Honeymoon Killers, The (1969) (FC)","0","Martha Beck (Shirley Stoler) is sullen, overweight, and lonely. Desperate for affection, she joins Aunt Carrie's Friendship Club and strikes up a correspondence with Ray Fernandez (Tony Lo Bianco), a charismatic smooth talker who could be the man of her dreams, or a degenerate con artist. Based on a shocking true story and shot in documentary-style black and white by the confident and inspired Leonard Kastle, in what would be his only foray into filmmaking, The Honeymoon Killers is a stark portrayal of the desperate lengths to which a lonely heart will go to find true love.<LF>","","Criterion:True Crime","0:06",""
"Valachi Papers, The (1972)","1972","In 1963, Joseph Valachi, a member of the infamous Genovese crime family, sent shock waves through the justice system when he turned informant and became the first member of the Italian American Mafia to publicly acknowledge its existence. This ripped-from-the-headlines mob drama—based on Peter Maas’s sensational bestseller of the same name—unfolds in a series of decades-spanning flashbacks as Valachi (Charles Bronson) tells a federal agent about his activities from 1929 to 1961, when he worked for the capo of capos, Vito Genovese (Lino Ventura).<LF>","Terence Young","Criterion:True Crime","2:05:23","Charles Bronson; Lino Ventura; Jill Ireland"
"10 Rillington Place (1971)","1971","Based on Ludovic Kennedy’s investigative book, this is the true and horrifying story of British mass murderer John Christie, chillingly played by Richard Attenborough. When Timothy (John Hurt) and Beryl Evans (Judy Geeson) move into Christie’s tiny flat, they do not know that he has already killed several young women and buried their bodies in the back garden of the house. When Christie offers to help Beryl have an abortion, neither she nor her husband know that it is just the latest plan Christie has hatched to lure a woman to her death.<LF>","Richard Fleischer","Criterion:True Crime","1:51:08","Richard Attenborough; Judy Geeson; John Hurt"
"Dillinger (1973)","1973","Warren Oates delivers a commanding performance as notorious gangster John Dillinger in the blood-spattered directorial debut of APOCALYPSE NOW and DIRTY HARRY screenwriter John Milius. Produced by low-budget powerhouse American International Pictures, this telling of the Dillinger story is an unrepentantly pulpy, antiheroic affair, following the ruthless bank robber as he and his gang embark on a violent crime spree across Depression-era America, all the while stalked by dogged FBI agent Melvin Purvis (Ben Johnson).<LF>","John Milius","Criterion:True Crime","1:47:43","Warren Oates; Ben Johnson; Cloris Leachman"
"Day of the Jackal, The (1973)","1973","Inspired by a 1962 plot to assassinate French president Charles de Gaulle, this political thriller from the genre’s 1970s golden age is a master class in cinematic suspense. Edward Fox is the coolly methodical hitman known as the Jackal who is hired by a militant right-wing underground group to eliminate de Gaulle. What ensues is a breathlessly tense cat-and-mouse game through the streets of Paris, filled with hairpin twists and turns, peppered with political intrigue, and populated by unforgettable heroes and villains.<LF>","Fred Zinnemann","Criterion:True Crime","2:22:38","Edward Fox; Alan Badel; Tony Britton"
"Man on a Swing (1974) (FC)","0","Purportedly drawn from a puzzling true case, this haunting thriller follows small-town police chief Lee Tucker (Cliff Robertson), whose investigation into the mysterious murder of a young schoolteacher leads him to self-proclaimed clairvoyant Franklin Wills (Joel Grey), who gives the detective details of the crime he claims to have seen in visions. The information Wills provides proves to be startlingly correct and seemingly could only be known to the killer, leading Tucker to wonder if his source is truly a psychic—or a suspect.<LF>","","Criterion:True Crime","0:12",""
"In the Realm of the Senses (1976) (FC)","0","IN THE REALM OF THE SENSES (AI NO CORRIDA), by the always provocative Japanese director Nagisa Oshima, remains one of the most controversial films of all time. Based on a true incident, it graphically depicts the all-consuming, transcendent—but ultimately destructive—love of a man and a woman (Tatsuya Fuji and Eiko Matsuda) living in an era of ever escalating imperialism and governmental control. Less a work of pornography than of politics, IN THE REALM OF THE SENSES is a brave, taboo-breaking milestone, still censored in its own country. WARNING: THIS FILM IS SEXUALLY EXPLICIT AND INCLUDES DEPICTIONS OF HARM AGAINST CHILDREN<LF>","","Criterion:True Crime","0:02",""
"Reversal of Fortune (1990)","1990","Jeremy Irons won a richly deserved Oscar for his deliciously unnerving portrayal of the icy, aristocratic socialite Claus von Bülow in this brilliantly entertaining, cuttingly witty true story about two men of vastly different backgrounds who form an uneasy alliance. Ron Silver is Alan Dershowitz (whose book the film is based on), the combative lawyer who decides to defend von Bülow in the attempted murder of his heiress wife, Sunny (Glenn Close), even though he’s not at all sure of his strange client’s innocence.<LF>","Barbet Schroeder","Criterion:True Crime","1:51:50","Glenn Close; Jeremy Irons; Ron Silver"
"Let Him Have It (1991)","1991","In one tragic moment, two lives are destroyed in this riveting exploration of a dark true story in the British legal system. “Let him have it.” After Derek Bentley (Christopher Eccleston), an epileptic young man with developmental disabilities, utters these words to his hoodlum friend Christopher Craig (Paul Reynolds), Craig shoots a policeman. But did Bentley mean for Craig to hand over the gun or commit murder? This emotionally gripping drama reveals the controversial postwar London murder trial that ensnared an innocent man.<LF>","Peter Medak","Criterion:True Crime","1:55:18","Christopher Eccleston; Paul Reynolds; Tom Courtenay"
"To Die For (1995)","1995","Based on the novel by Joyce Maynard (which was inspired by the true story of Pamela Stuart), Gus Van Sant’s whip-smart, darkly comic satire explores America’s obsession with celebrity. Nicole Kidman delivers a wickedly diabolical breakthrough performance as Suzanne Stone, a shallow, narcissistic, and ruthlessly ambitious small-town girl with a dream to become a famous TV personality—even if her husband (Matt Dillon) stands in the way. After she manages to talk her way into a job at a local TV station, Suzanne sets about climbing the corporate ladder, enlisting the help of three easily manipulated teenagers (Joaquin Phoenix, Casey Affleck, and Alison Folland). Together, they form a powerful and dangerous bond that threatens to blow the lid off their seemingly idyllic suburban life.<LF>","Gus Van Sant","Criterion:True Crime","1:46:35","Nicole Kidman; Matt Dillon; Joaquin Phoenix"
"La cérémonie (1995) (FC)","1995","Catherine (Jacqueline Bisset) hires the illiterate Sophie (Sandrine Bonnaire) as her maid. But Sophie soon falls under the influence of the mysterious postal worker Jeanne (Isabelle Huppert), and the stage is set for a tale of murder, violence, and betrayal. This late-career triumph from Claude Chabrol exemplifies the New Wave auteur’s mastery of suspense and twisted psychodrama.<LF>","","Criterion:True Crime","0:07",""
"From Hell (2001)","2001","Directors Albert and Allen Hughes (MENACE II SOCIETY) bring a surfeit of gothic period atmosphere to their luridly entertaining take on what may be the most infamous serial-killer case of all time: the murders committed by Jack the Ripper in the Whitechapel area of London in the late nineteenth century. Johnny Depp is the opium-addicted, clairvoyant police inspector Frederick Abberline, who tracks the mysterious killer while falling in love with a sex worker (Heather Graham) who could be the Ripper’s next victim.<LF>","Albert Hughes; Allen Hughes","Criterion:True Crime","2:02:32","Johnny Depp; Heather Graham; Ian Holm"
"Zodiac (2007)","2007","David Fincher’s riveting, meticulously constructed procedural centers on the true story of the notorious serial killer known as the Zodiac who terrorized the San Francisco Bay Area in the late 1960s and early 1970s and the intense manhunt he inspired. Jake Gyllenhaal leads an outstanding ensemble cast as Robert Graysmith (whose book of the same name provides the basis for the film), a cartoonist at the San Francisco Chronicle who is drawn into the investigation after his paper receives a cryptic letter from the Zodiac. What plays out is a searing and singularly haunting examination of twin obsessions: one man’s desire to kill and another’s quest for the truth.<LF>","David Fincher","Criterion:True Crime","2:37:46","Jake Gyllenhaal; Mark Ruffalo; Robert Downey Jr."
"Polytechnique (2009)","2009","In 1989, a gunman entered an engineering class at the Université de Montréal and opened fire on the women present, claiming that he was “fighting feminism.” The event—which has come to be known Montreal Massacre—is chillingly recreated in Denis Villeneuve’s mesmerizing, almost abstractly stylized work of pure cinema, which views the crime through the eye of two students (Sébastien Huberdeau and Karine Vanasse) who witness the misogynistic attack that leaves fourteen young women dead.<LF>","Denis Villeneuve","Criterion:True Crime","1:17:20","Maxim Gaudette; Sébastien Huberdeau; Karine Vanasse"
"Code Unknown (2000) (FC)","0","One of the world’s most influential and provocative filmmakers, the Oscar–winning Austrian director Michael Haneke diagnoses the social maladies of contemporary Europe with devastating precision and artistry. His drama CODE UNKNOWN, the first of his many films made in France, may be his most inspired work. Composed almost entirely of brilliantly shot, single-take vignettes focusing on characters connected to one seemingly minor incident on a Paris street, Haneke’s film—with an outstanding international cast headlined by Juliette Binoche—is a revelatory examination of racial inequality and the failure of communication in an increasingly diverse modern landscape.<LF>","","Criterion:Twenty-First-Century Cinema","0:06",""
"Piano Teacher, The (2001) (FC)","0","In this riveting study of the dynamics of control, Academy Award–winning director Michael Haneke takes on Nobel laureate Elfriede Jelinek’s controversial 1983 novel about perverse female sexuality and the world of classical music. Haneke finds his match in Isabelle Huppert, who delivers an icy but quietly seething performance as Erika, a piano professor at a Viennese conservatory who lives with her mother in a claustrophobically codepen­dent relation­ship. Severely repressed, she satisfies her mas­ochistic urges only voyeuristically until she meets Walter (Benoît Magimel), a student whose desire for Erika leads to a destructive infatuation that upsets the careful equilibrium of her life. A critical breakthrough for Haneke, THE PIANO TEACHER—which won the Grand Prix as well as dual acting awards for its stars at Cannes—is a formalist masterwork that remains a shocking sensation.<LF>","","Criterion:Twenty-First-Century Cinema","0:03",""
"Summer Hours (2008) (FC)","0","Universally acclaimed by critics, the multiple award-winning SUMMER HOURS is the great contemporary French filmmaker Olivier Assayas’s most personal film to date. Three siblings, played by Juliette Binoche, Charles Berling, and Jérémie Rénier, must decide what to do with the country estate and objects they’ve inherited from their mother. From this simple story, Assayas creates an exquisitely nuanced drama about the material of globalized modern living. Naturalistic and unsentimental, SUMMER HOURS is that rare film that pays respect to family by treating it with honesty.<LF>","","Criterion:Twenty-First-Century Cinema","0:07",""
"William Eggleston in the Real World (2005)","2005","Renowned as the father of modern color photography for his hallucinatory, Faulknerian images, William Eggleston has exerted an incalculable influence on the shape of contemporary art. In this remarkably unguarded portrait, director Michael Almereyda offers an intimate glimpse of the artist on the road in Los Angeles and New York and at home in Memphis, Tennessee, in the process revealing Eggleston’s parallel interests in music, drawing, and video as well as the deep connections between his enigmatic personality and his groundbreaking work.<LF>","Michael Almereyda","Criterion:Twenty-First-Century Cinema","1:25:05",""
"3 Faces (2018)","2018","Iranian master Jafar Panahi’s fourth feature since he was officially banned from filmmaking is a courageous act of antipatriarchal defiance from an artist who has refused to be silenced. This playful docufiction road movie begins with a smartphone video sent to the director and real-life star actress Behnaz Jafari from a desperate young woman who, distraught at her family’s refusal to let her study drama, seemingly records her own suicide. Traveling to the woman’s rural hometown to investigate, Panahi and Jafari find themselves launched on a slyly comic, quietly revelatory journey that builds in narrative, thematic, and visual intricacy to put forth a grand expression of community and solidarity under the eye of oppression.<LF>","Jafar Panahi","Criterion:Twenty-First-Century Cinema","1:40:59","Behnaz Jafari; Jafar Panahi; Marziyeh Rezaei"
"Royal Road, The (2015)","2015","A cinematic essay in defense of remembering, THE ROYAL ROAD offers up a primer on the Spanish colonization of California and the Mexican American War alongside intimate reflections on nostalgia, the pursuit of unavailable women, butch identity, and Alfred Hitchcock’s VERTIGO—all against a contemplative backdrop of 16 mm urban California landscapes. Featuring a voice-over cameo by Tony Kushner, this bold, innovative work from acclaimed San Francisco filmmaker Jenni Olson combines rigorous historical research with lyrically written personal monologue to tell a deeply personal, one-of-a-kind California tale.<LF>","Jenni Olson","Criterion:Twenty-First-Century Cinema","1:04:46",""
"Certified Copy (2010) (FC)","0","The great Iranian director Abbas Kiarostami travels to Tuscany for a luminous and provocative romance in which nothing is as it appears. What seems at first to be a straightforward tale of two people—played by Oscar-winning actress Juliette Binoche and opera singer William Shimell—getting to know each other over the course of an afternoon gradually reveals itself as something richer, stranger, and trickier: a mind-bending reflection on authenticity, in art as well as in relationships. Both cerebrally and emotionally engaging, CERTIFIED COPY reminds us that love itself is an enigma.<LF>","","Criterion:Twenty-First-Century Cinema","0:10",""
"Master Builder, A (2014) (FC)","0","Twenty years after their brilliant cinema-theater experiment VANYA ON 42ND STREET, Wallace Shawn and Andre´ Gregory reunited to produce another idiosyncratic film version of a classic play, this time Henrik Ibsen’s “Bygmester Solness” (“Master Builder Solness”). Brought pristinely to the screen by Jonathan Demme, this compellingly abstract reimagining features Shawn (who also wrote the adaptation) as a visionary but tyrannical middle-aged architect haunted by figures from his past, most acutely an attractive, vivacious young woman (the breathtaking newcomer Lisa Joyce) who has appeared on his doorstep. Also featuring standout supporting performances by Julie Hagerty, Larry Pine, and Gregory, A MASTER BUILDER, like VANYA, is the result of many years of rehearsals, a living, breathing, constantly shifting work that unites theater, film, and dream.<LF>","","Criterion:Twenty-First-Century Cinema","0:09",""
"Dheepan (2015) (FC)","0","With this Palme d’Or–winning drama, which deftly combines seemingly disparate genres, French filmmaker Jacques Audiard cemented his status as a titan of contemporary world cinema. In an arresting performance, the nonprofessional actor Antonythasan Jesuthasan (himself a former child soldier) stars as a Tamil fighter who, along with a woman and a child posing as his wife and daughter, flees war-torn Sri Lanka only to land in a Paris suburb blighted by drugs. As the makeshift family embarks on a new life, DHEEPAN settles into an intimate social-realist mode before tightening into a dynamic turf-war thriller, as well as an unsettling study of the psychological aftereffects of combat. Searing and sensitive, Audiard’s film is a unique depiction of the refugee experience as a continuous crisis of identity.<LF>","","Criterion:Twenty-First-Century Cinema","0:10",""
"Bacurau (2019) (FC)","0","A few years from now . . . As Bacurau, a small town in the Brazilian sertão, mourns the loss of its ninety-four-year-old matriarch, its inhabitants (among them national cinema icon Sônia Braga) begin to notice a series of strange happenings: their village has literally vanished from online maps, cell phones have stopped working, and a UFO-like drone hovers menacingly overhead. An ominous force is converging on Bacurau, an unknown threat that will force the community to band together and fight for its survival. Luckily, the resourceful residents are more than up for the challenge. A blistering sci-fi thriller streaked with antiracist and anticolonialist rage, the new film from AQUARIUS director Kleber Mendonça Filho, codirected with Juliano Dornelles, is an audacious, furiously entertaining model of genre art as a vehicle for political resistance.<LF>","","Criterion:Twenty-First-Century Cinema","0:09",""
"45 Years (2015) (FC)","0","In this exquisitely calibrated film, Charlotte Rampling and Tom Courtenay perform a subtly off-kilter pas de deux as Kate and Geoff, an English couple who, on the eve of an anniversary celebration, find their long marriage shaken by the arrival of a letter to Geoff that unceremoniously collapses his past into their shared present. Director Andrew Haigh carries the tradition of British realist cinema to artful new heights in 45 YEARS, weaving the momentous into the mundane as the pair go about their daily lives, while the evocatively flat, wintry Norfolk landscape frames their struggle to maintain an increasingly untenable status quo. Loosely adapting a short story by David Constantine, Haigh shifts the focus from the slightly erratic Geoff to Kate, eliciting a remarkable, nuanced portrayal by Rampling of a woman’s gradual metamorphosis from unflappable wife to woman undone.<LF>","","Criterion:Twenty-First-Century Cinema","0:04",""
"Synonyms (2019)","2019","Winner of the top prize at the Berlin Film Festival, this audacious, deliriously unhinged dark comedy from Israeli director Nadav Lapid evokes the whiplash disorientation of the immigrant experience with both ferocious intensity and unexpected poetry. Newcomer Tom Mercier delivers a whirlwind performance of almost feral unpredictability as Yoav, a disaffected young Israeli who flees Tel Aviv for Paris to start a new life. Desperate to integrate into his new society, Yoav sees becoming French as his only hope for salvation. But his attempts to erase his former identity soon awaken past demons and open up a bewildering existential abyss.<LF>","Nadav Lapid","Criterion:Twenty-First-Century Cinema","2:03:56","Tom Mercier; Quentin Dolmaire; Louise Chevillotte"
"Clouds of Sils Maria (2014) (FC)","0","This multilayered, immensely entertaining drama from the great contemporary French director Olivier Assayas is a singular look at the intersection of high art and popular culture. The always extraordinary Juliette Binoche is stirring as Maria, a stage and screen icon who is being courted to star in a new production of the play that made her famous—only this time she must assume the role of the older woman. Kristen Stewart matches her punch for punch as her beleaguered assistant, called upon to provide support both professional and emotional for her mercurial boss. And Chloe¨ Grace Moretz is Maria’s callow new castmate, a starlet waiting in the wings. An amorphous, soul-searching tale, filled with ethereal images of its Swiss Alps setting, CLOUDS OF SILS MARIA brilliantly dramatizes one woman’s reckoning with herself and the world.<LF>","","Criterion:Twenty-First-Century Cinema","0:06",""
